id,title,question,answer,createdAt,updatedAt
1,"Orders & Shipping","Can I make changes to my order before it ships?","Unfortunately, we can't make changes or cancel an order after it's been submitteed.  An item may only be canceled if it is on pre-order. If you would like to cancel a pre-ordered item, shoot an email to blue@unitedbyblue.com with your order number and we'll handle that for you.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
2,,"Why was I charged tax?","We unfortunately don't have control over the taxes that are charged - they are added in automatically and are subject to tax laws that are currently being updated. To give you a little more info: the way that taxes are charged online within the USA is changing right now because of the South Dakota v. Wayfair case. Because of this case, online tax parameters will no longer necessarily match up to each state's laws that apply to in-person purchases. If you'd like more information about this case, the following article gives a helpful overview: https://www.aicpa.org/advocacy/state/south-dakota-v-wayfair.html","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
3,,"Why isn't my payment going through?","Please double check to ensure you're using the proper billing zip code associated with the credit card. Additionally, in order to pay with a credit card, your order must be above $0.50.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
4,,"Will I be charged right away when I place an order?","Yes, your card will be charged right away. We don't store payment information for security purposes.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
5,,"How long will it take for my order to arrive?","Currently, orders can take 1-4 business days to process before shipping. From there, shipping times are dependent upon location. Check out ourshipping pagefor more information on when to expect your package.  Note:FedEx and USPS are experiencing some transit delays. Tracking details may be slower than normal to update. Please allow for additional time for all deliveries. Thanks for bearing with us!","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
6,"Returns & Exchanges","What is your return/exchange policy?","Most* United By Blue products are guaranteed for 30 days after purchase date. If any issues arise during that time, the item can be returned for a refund or exchange. Items must have been purchased from unitedbyblue.com and must be returned in their original condition and packaging (unwashed, unworn, and tags still attached). If used items are returned, a partial refund may be given in the form of store credit.   *The following items do not qualify for returns or exchanges:  - Items marked as final sale - Discounted apparel - Warehouse and sample sale purchases - Gift cards","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
7,,"How do I make a return/exchange?","Head to our Returns & Exchanges page for options and a step-by-step guide. You will receive an email confirmation when your return/exchange has been processed (be sure to check your spam folder).  Heads up: If you select to exchange, but the item sells out before your return is finalized, the exchange will instead default to a refund.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
8,,"Is there a fee for returning?","All refunds require an $8.00 processing fee, which will automatically be deducted from your refund. Exchanges and returns for store credit are free.  Questions? Feel free to shoot us a note at blue@unitedbyblue.com!","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
9,,"When will I receive my refund?","You should receive your refund upon the first carrier scan. Please note, it can take 3-5 business days for a refund to credit back to your original form of payment.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
10,,"Do you offer returns/exchanges for international orders?","Unfortunately, we do not provide prepaid labels for international orders but they can be shipped back on the customer's own accord for a refund or store credit. The shipping fee will not be refunded. Please reach out if you need help with starting this process.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
11,"Lifetime Guarantee","What is ""general wear and tear""","General wear and tear describes the breakdown of materials that occurs naturally over time. Our lifetime guarantee does not cover wear and tear from accidents, misuse, improper care, or alterations not approved by UBB.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
12,,"How do I get the repair process started?"," To start a Lifetime Guarantee repair request for your registered bag or jacket, please fill out the repair request form on our Lifetime Guarantee page. Once we receive your request, we'll follow up with the next steps for getting your bag or jacket repaired or replaced!","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
13,,"Can I have my bag or jacket repaired at the repair shop of my choice?"," Yes! If the damage to your bag or jacket is covered under our Lifetime Guarantee, we're happy to reimburse the cost of repairing at a local shop in United by Blue store credit.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
14,,"Am I eligible if I live internationally?"," Our lifetime guarantee policy may vary country to country. Customers should still register their bags and (when applicable) submit a repair request. If you’re an international customer and you submitted a repair request we’ll be in touch to discuss options available for you.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
15,,"Can I get a replacement part for my bag or jacket?","If you're in need of a replacement part for your bag or jacket, please fill out a repair request form or contact our Customer Care Team at blue@unitedbyblue.com. We're happy to see if the part you're looking for is available to us!","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
16,"The StreePulse Crew"," What are double point days?","From time to time, we'll run special promotions in which Wave Makers and Force of Natures can earn 2 points for every dollar spent during the promotional period. To learn about upcoming double points campaigns, we recommend signing up for our email list.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
17,,"How do I get points for joining a UBB Cleanup?","We can’t thank our volunteers enough for supporting our mission. If you lend a helping hand at a United By Blue Cleanup, your attendance will earn you 100 points. In order to get your points, make sure the email address that you use to RSVP/sign in at the event is the same email address linked to your Blue Crew account. Please allow 5 business days for reward points from a cleanup to be added to your account.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
18,,"What happens to my points if I make a return?","When you return an item, you lose the associated credit you originally earned by buying the item in the first place. If you hit a new tier level but return the qualifying purchase, you may see yourself drop down to the tier below. Don’t worry - once you earn more points, you’ll have an opportunity to enter that tier again.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
19,,"What if I use a discount amount that is higher than my car total? Will I get lose those points?","Unfortunately you will. If you have a $36 shirt in your cart, and you apply a $40 reward to the total, your total will be covered but you will lose the extra $4.00. We recommend only using reward amounts that you can use in full so you don’t lose out on hard-earned rewards!","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
20,,"When I add reward points to a purchase, it shows as a gift card. Why is that happening?"," That just means it worked successfully! Currently, rewards are working as gift cards, so no worries if you see a gift card appearing in your payment details after you redeem a reward. If you have any questions about redemption, feel free to drop us a line at blue@unitedbyblue.com.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
21,"Afterpay","How does the payment schedule work?","All customers are required to make their first payment at the time of purchase, with the remaining three payments deducted every two weeks from your chosen payment method. If you choose to make additional payments before your scheduled pay dates, you may do so through your Afterpay account. You can log in to your Afterpay account to view your payment schedule and make a payment before the due date if you choose to do so. ","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
22,,"When will my items be delivered if I use Afterpay?","Afterpay orders are delivered within our shipping time frame after you complete your order online. For more information, check out our shipping page here. ","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
23,,"Is there a limit to how much I can spend on a single transaction?","Afterpay is only offered to our customers who have a US billing address, US shipping address, a US Visa or Mastercard (credit or debit card), and a US mobile phone number. Customers with international billing addresses, shipping addresses, and/or phone numbers will not be able to set up an account with Afterpay. Sorry about that!","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
24,,"Where can I find out more about Afterpay?","Feel free to check out the Afterpay website here for a comprehensive list of FAQs, terms, purchase payment agreement as well as Afterpay’s Privacy Policy.  If you have a question about your Afterpay account, please contact the Afterpay toll-free customer support line at 855-289-6014. ","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
25,,"How do I use Afterpay?","Simply shop unitedbyblue.com and check out as usual. At checkout, choose Afterpay as your payment method. If it’s your first time using Afterpay, you’ll need to sign up and provide your payment details (Mastercard or Visa).  Used Afterpay before? Just log into your Afterpay account and complete your order.   Please note that all items in your cart must be eligible for payment with Afterpay. A minimum purchase amount may apply.","2024-12-14T11:34:23.157Z","2024-12-14T14:11:35.586Z"
